"","MLP_mean","MLP_std","CNN_mean","CNN_std","ResNet_mean","ResNet_std","FNO1d_mean","FNO1d_std"
"Pde1","0.00965092","0.00200209","0.0271538","0.00816946","0.0255707","0.0073054","0.0156913","0.00291149"
"Pde2","0.0122482","0.00190739","0.0318844","0.00848136","0.0216153","0.00202999","0.020717","0.00377875"
"Pde3","0.0206883","0.00530077","0.0866521","0.0177564","0.0325429","0.00718722","0.0167682","0.000590011"
"Pde4","0.0142608","0.00223733","0.0344767","0.007681","0.0402873","0.00651264","0.0127361","0.002849"
"Pde5","0.00960346","0.00102251","0.0290197","0.00551959","0.0355769","0.0123039","0.0204237","0.00255181"
"Pde6","0.0144163","0.00425974","0.0432886","0.0114977","0.0231158","0.00331242","0.0243367","0.00292983"
"Pde7","0.0144523","0.00303541","0.024306","0.00242628","0.0371218","0.0118607","0.0234334","0.00273975"
"Pde8","0.0070745","0.000714213","0.0215288","0.00748747","0.0307245","0.00925386","0.0109197","0.00259925"
"Pde9","0.00702805","0.000256503","0.0177988","0.00337814","0.015245","0.00493378","0.0103989","0.000606019"
"Pde10","0.00719143","0.000276869","0.0192393","0.00426725","0.0170039","0.00156452","0.0105284","0.004808"
"Pde11","0.0076725","0.000503204","0.0186747","0.00261295","0.0156281","0.00511661","0.00944331","0.0028231"
"Pde12","0.00769454","0.00130336","0.0191795","0.00349463","0.015074","0.00366484","0.012875","0.00200591"
"Pde13","0.00721901","0.00148345","0.0172146","0.00361118","0.0200572","0.0068821","0.0144611","0.00126241"
"Pde14","0.00663722","0.00179041","0.0171506","0.00215958","0.0148885","0.00426313","0.00790604","0.000653892"
"Pde15","0.00914246","0.00245107","0.0125013","0.00160131","0.0221138","0.00405599","0.0143457","0.00217266"
"Pde16","0.00823252","0.00216277","0.0203534","0.00655164","0.0207373","0.00806776","0.0123297","0.000693961"
"Pde17","0.00596472","0.00092809","0.0261419","0.00642561","0.0231721","0.00478387","0.0190617","0.00388707"
"Pde18","0.00836675","0.000350063","0.0163443","0.00421079","0.0261561","0.00682032","0.0159818","0.0065813"
"Pde19","0.0076314","0.00138928","0.0363966","0.00366594","0.0242813","0.00688749","0.0180705","0.00468099"
"Pde20","0.008242","0.000362179","0.016282","0.0016194","0.0166118","0.00443786","0.00993846","0.00287952"
"Pde21","0.00523941","0.000722357","0.0235173","0.0020875","0.0130087","0.00363699","0.0111067","0.00255428"
"Pde22","0.0620426","0.00409028","0.0290428","0.00473127","0.0614139","0.00834632","0.0225599","0.00542552"
"Pde24","0.0510722","0.00316401","0.05295","0.010473","0.0715555","0.0241735","0.027893","0.00384209"
"KdV","0.126943","0.00359394","0.0393695","0.00883294","0.0556229","0.0118094","0.0257348","0.00235056"
