experiment_name,seed,n_train,max_epochs,test_loss_y,test_loss_o0,test_loss_o1,test_loss
ELL,1,10,200,0.24117809534072876,0.0005039137322455645,1.9467654055915773e-05,0.24170148372650146
ELL,1,100,150,0.052361976355314255,5.9156245697522536e-05,1.7795373423723504e-05,0.05243892967700958
ELL,1,1000,60,0.01568198762834072,2.734173358476255e-05,2.652749572007451e-06,0.015711983665823936
ELL,2,10,200,0.17557720839977264,0.0007670997874811292,9.705148841021582e-05,0.17644137144088745
ELL,2,100,150,0.04316595941781998,7.772159005980939e-05,3.473168544587679e-05,0.04327840730547905
ELL,2,1000,60,0.013263343833386898,1.647631506784819e-05,1.3812409633828793e-06,0.01328120008111
Vanilla,1,10,200,0.40807461738586426,,,0.40807461738586426
Vanilla,1,100,150,0.012817264534533024,,,0.012817264534533024
Vanilla,1,1000,60,0.0020454039331525564,,,0.0020454039331525564
Vanilla,2,10,200,0.47671234607696533,,,0.47671234607696533
Vanilla,2,100,150,0.020162826403975487,,,0.020162826403975487
Vanilla,2,1000,60,0.0027082047890871763,,,0.0027082047890871763
LPSDA,1,10,200,0.3223510682582855,,,0.3223510682582855
LPSDA,1,100,150,0.009269768372178078,,,0.009269768372178078
LPSDA,1,1000,60,0.0020768302492797375,,,0.0020768302492797375
LPSDA,2,10,200,0.4026634991168976,,,0.4026634991168976
LPSDA,2,100,150,0.007386556826531887,,,0.007386556826531887
LPSDA,2,1000,60,0.003650513244792819,,,0.003650513244792819
