experiment_name,seed,n_train,max_epochs,test_loss_y,test_loss_o0,test_loss_o1,test_loss
ELL,1,10,200,0.24404355883598328,0.0043359058909118176,0.0007685888558626175,0.24914807081222534
ELL,1,100,150,0.08836784213781357,0.001119909342378378,0.0001477304322179407,0.08963547646999359
ELL,2,10,200,0.2845095694065094,0.00023203628370538354,8.927641465561464e-05,0.28483089804649353
ELL,2,100,150,0.10284659266471863,0.00189883541315794,0.001062439987435937,0.10580787062644958
Vanilla,1,10,200,0.3430110812187195,,,0.3430110812187195
Vanilla,1,100,150,0.05791560560464859,,,0.05791560560464859
Vanilla,2,10,200,0.3662981688976288,,,0.3662981688976288
Vanilla,2,100,150,0.04445626214146614,,,0.04445626214146614
LPSDA,1,10,200,0.2723070979118347,,,0.2723070979118347
LPSDA,1,100,150,0.07040248811244965,,,0.07040248811244965
LPSDA,2,10,200,0.2878272533416748,,,0.2878272533416748
LPSDA,2,100,150,0.07816267013549805,,,0.07816267013549805
