pde_name,experiment_name,seed,n_train,max_epochs,test_loss_y,test_loss_o0,test_loss_o1,test_loss
Pde4,ELL,1,10,200,0.24404355883598328,0.0043359058909118176,0.0007685888558626175,0.24914807081222534
Pde4,ELL,1,100,150,0.08836784213781357,0.001119909342378378,0.0001477304322179407,0.08963547646999359
Pde4,ELL,1,1000,60,0.07591494172811508,0.0032450787257403135,0.0007724822498857975,0.07993249595165253
Pde4,ELL,2,10,200,0.2845095694065094,0.00023203628370538354,8.927641465561464e-05,0.28483089804649353
Pde4,ELL,2,100,150,0.10284659266471863,0.00189883541315794,0.001062439987435937,0.10580787062644958
Pde4,ELL,2,1000,60,0.08749308437108994,0.0025988370180130005,8.116101525956765e-05,0.09017308056354523
Pde4,Vanilla,1,10,200,0.3430110812187195,,,0.3430110812187195
Pde4,Vanilla,1,100,150,0.05791560560464859,,,0.05791560560464859
Pde4,Vanilla,1,1000,60,0.023934271186590195,,,0.023934271186590195
Pde4,Vanilla,2,10,200,0.3662981688976288,,,0.3662981688976288
Pde4,Vanilla,2,100,150,0.04445626214146614,,,0.04445626214146614
Pde4,Vanilla,2,1000,60,0.021969055756926537,,,0.021969055756926537
Pde4,LPSDA,1,10,200,0.2723070979118347,,,0.2723070979118347
Pde4,LPSDA,1,100,150,0.07040248811244965,,,0.07040248811244965
Pde4,LPSDA,1,1000,60,0.019616447389125824,,,0.019616447389125824
Pde4,LPSDA,2,10,200,0.2878272533416748,,,0.2878272533416748
Pde4,LPSDA,2,100,150,0.07816267013549805,,,0.07816267013549805
Pde4,LPSDA,2,1000,60,0.01874164119362831,,,0.01874164119362831
Pde13,ELL,1,10,200,0.047644052654504776,0.00041776313446462154,7.386666402453557e-05,0.04813568294048309
Pde13,ELL,1,100,150,0.02276265062391758,6.472948734881356e-05,4.607012215274153e-06,0.022831985726952553
Pde13,ELL,1,1000,60,0.009563501924276352,5.280912955640815e-05,2.0630802737287013e-06,0.009618372656404972
Pde13,ELL,2,10,200,0.022904066368937492,0.00023339464678429067,3.1737137760501355e-05,0.023169197142124176
Pde13,ELL,2,100,150,0.01976504549384117,0.00010646314331097528,4.557314241537824e-06,0.019876064732670784
Pde13,ELL,2,1000,60,0.013208436779677868,0.0001406002847943455,1.7886540035760845e-06,0.013350826688110828
Pde13,Vanilla,1,10,200,0.12703950703144073,,,0.12703950703144073
Pde13,Vanilla,1,100,150,0.011236472986638546,,,0.011236472986638546
Pde13,Vanilla,1,1000,60,0.006036228965967894,,,0.006036228965967894
Pde13,Vanilla,2,10,200,0.11096058040857315,,,0.11096058040857315
Pde13,Vanilla,2,100,150,0.011082597076892853,,,0.011082597076892853
Pde13,Vanilla,2,1000,60,0.005463155452162027,,,0.005463155452162027
Pde13,LPSDA,1,10,200,0.12349161505699158,,,0.12349161505699158
Pde13,LPSDA,1,100,150,0.011707899160683155,,,0.011707899160683155
Pde13,LPSDA,1,1000,60,0.005685025826096535,,,0.005685025826096535
Pde13,LPSDA,2,10,200,0.11291275918483734,,,0.11291275918483734
Pde13,LPSDA,2,100,150,0.010311000049114227,,,0.010311000049114227
Pde13,LPSDA,2,1000,60,0.0053669242188334465,,,0.0053669242188334465
