pde_name,experiment_name,seed,n_train,max_epochs,test_loss_y,test_loss_o0,test_loss_o1,test_loss
Pde1,ELL,1,10,200,0.22440563142299652,1.5026719665911514e-05,9.600578778190538e-05,0.22451665997505188
Pde1,ELL,1,100,150,0.04986089840531349,5.637041340378346e-06,0.0003415379615034908,0.05020806938409805
Pde1,ELL,1,1000,60,0.024988284334540367,1.1810210708063096e-05,0.0004031814751215279,0.025403276085853577
Pde1,ELL,2,10,200,0.2791883945465088,1.5758940207888372e-05,0.00015188055112957954,0.2793560326099396
Pde1,ELL,2,100,150,0.03643980994820595,1.4147381079965271e-05,0.00022170357988215983,0.03667566180229187
Pde1,ELL,2,1000,60,0.015870248898863792,6.453685273299925e-06,0.00018926942721009254,0.016065971925854683
Pde4,ELL,1,10,200,0.21070489287376404,0.00034769222838804126,0.0019426036160439253,0.21299520134925842
Pde4,ELL,1,100,150,0.09199514240026474,0.0009502533357590437,0.0047931671142578125,0.09773856401443481
Pde4,ELL,1,1000,60,0.07372767478227615,0.0011317359749227762,0.004796704743057489,0.07965611666440964
Pde4,ELL,2,10,200,0.28837960958480835,0.005558521952480078,0.002462410368025303,0.2964005768299103
Pde4,ELL,2,100,150,0.10359760373830795,0.0011320464545860887,0.008377955295145512,0.1131076067686081
Pde4,ELL,2,1000,60,0.09129490703344345,0.0005435461062006652,0.003321473952382803,0.09515993297100067
Pde13,ELL,1,10,200,0.033805567771196365,0.0002738576440606266,0.004150490276515484,0.03822991997003555
Pde13,ELL,1,100,150,0.020080072805285454,0.00023015534679871053,0.0026814828161150217,0.022991709411144257
Pde13,ELL,1,1000,60,0.012827767059206963,0.00038806028896942735,0.001128035713918507,0.01434386521577835
Pde13,ELL,2,10,200,0.020270289853215218,0.0010216821683570743,0.004541992675513029,0.025833964347839355
Pde13,ELL,2,100,150,0.025998428463935852,0.0002548209740780294,0.005083288997411728,0.03133653476834297
Pde13,ELL,2,1000,60,0.0141422338783741,0.0002540409623179585,0.0019363376777619123,0.016332611441612244
